x,y,id
"640248","3477840","1"
"640239","3477851","2"
"640286","3477871","3"
"640223","3477880","4"
"640312","3477895","5"
"640317","3477905","6"
"640182","3477911","7"
"640294","3477933","8"
"640360","3477941","9"
"640396","3477957","10"
"640324","3477960","11"
"640369","3477990","12"
"640311","3477999","13"
"640345","3478025","14"
"640291","3478035","15"
